Item_Weight,Item_Visibility_Log,Outlet_Age,Fat_Content_Encoded,Outlet_Size_Encoded,Outlet_Type_Encoded,Location_Type_Encoded,MRP
20.75,0.007536366117988938,27,1.0,1.0,1.0,1,107.8622
8.3,0.037707720117883044,19,0.0,1.0,1.0,2,87.3198
14.6,0.09492365784160718,28,1.0,1.0,0.0,3,241.7538
7.315,0.015271192502655722,19,1.0,1.0,1.0,2,155.034
,0.11207729013857927,41,0.0,1.0,0.0,3,234.23
9.8,0.06186357728815552,29,0.0,0.0,1.0,1,117.1492
19.35,0.07936697511001162,17,0.0,1.0,2.0,3,50.1034
,0.01565924651354554,41,1.0,1.0,0.0,3,81.0592
6.305,0.11632904223118196,24,0.0,1.0,1.0,2,95.7436
5.985,0.005682260337028233,19,1.0,1.0,1.0,2,186.8924
16.6,0.09854954104013754,19,1.0,1.0,1.0,2,118.3466
6.59,0.10057942744883758,24,1.0,1.0,1.0,2,85.3908
,0.15792572963759566,41,1.0,0.0,0.0,1,240.4196
4.785,0.08868611724563334,27,1.0,1.0,1.0,1,122.3098
16.75,0.0209847361732275,39,0.0,2.0,1.0,3,52.0298
6.135,0.07645230063851258,27,0.0,1.0,1.0,1,151.6366
19.85,0.05272072462409231,24,1.0,1.0,1.0,2,198.7768
17.85,0.037277444498444334,17,1.0,1.0,2.0,3,192.2188
,0.027794473913732208,41,1.0,1.0,0.0,3,109.6912
13.6,0.17973290662838282,28,1.0,1.0,0.0,3,193.7136
7.1,0.10428806498813166,39,1.0,2.0,1.0,3,175.008
19.2,0.16773166928162017,22,1.0,0.0,1.0,2,239.9196
13.65,0.06356696558027874,29,0.0,0.0,1.0,1,47.7402
,0.027077140026677667,41,1.0,0.0,0.0,1,142.347
19.2,0.03457429583257687,22,1.0,0.0,1.0,2,180.7318
6.785,0.037734152037849994,28,0.0,1.0,0.0,3,209.4928
13.0,0.034500063398468735,22,1.0,0.0,1.0,2,47.6034
5.825,0.08753936691174935,29,1.0,0.0,1.0,1,161.3894
13.8,0.056477180353098864,29,1.0,0.0,1.0,1,244.6802
12.8,0.022681175396479923,22,0.0,0.0,1.0,2,116.5492
,0.06520405899311212,41,1.0,0.0,0.0,1,32.09
9.5,0.02190686477599071,17,0.0,1.0,2.0,3,194.9452
12.5,0.006769740510237066,17,1.0,1.0,2.0,3,42.4112
,0.024565809429239246,41,0.0,1.0,0.0,3,217.7508
5.78,0.09251666885609569,19,1.0,1.0,1.0,2,164.2552
,0.008656059982488367,41,0.0,1.0,0.0,3,205.098
,0.07599880426060539,41,1.0,1.0,0.0,3,80.3644
10.395,0.04924669137359954,28,1.0,1.0,0.0,3,114.0176
18.35,0.08570595012396286,19,1.0,1.0,1.0,2,192.1504
,0.015816634949644737,41,1.0,1.0,0.0,3,103.3964
21.1,0.028710981778274188,17,1.0,1.0,2.0,3,143.3786
19.75,0.06694476848847754,28,0.0,1.0,0.0,3,116.6466
8.43,0.1644121031630866,19,1.0,1.0,1.0,2,173.9422
15.35,0.015617498515920366,17,1.0,1.0,2.0,3,144.847
6.71,0.057858547522485794,28,1.0,1.0,0.0,3,217.2166
10.195,0.11891832075409253,39,1.0,2.0,1.0,3,112.1886
11.65,0.25566680725656776,28,1.0,1.0,0.0,3,55.8298
12.85,0.05205521665104946,22,1.0,0.0,1.0,2,183.2608
12.15,0.12323924079346998,22,1.0,0.0,1.0,2,248.146
18.25,0.07250197444378087,29,1.0,0.0,1.0,1,124.9046
5.98,0.07283956413570747,29,1.0,0.0,1.0,1,57.0614
12.65,0.115939929289993,39,1.0,2.0,1.0,3,106.6938
13.1,0.043483098958989386,19,0.0,1.0,1.0,2,181.0318
20.7,0.09598410630120466,19,0.0,1.0,1.0,2,122.3388
,0.03888554256681831,41,0.0,1.0,0.0,3,188.7188
7.855,0.011215543005902157,27,1.0,1.0,1.0,1,188.8188
13.35,9.999995000003334e-07,39,0.0,2.0,1.0,3,179.666
17.25,0.1016108894878229,39,0.0,2.0,1.0,3,38.3822
,0.12206315796177901,41,0.0,0.0,0.0,1,263.2568
10.395,0.02950774171467692,24,0.0,1.0,1.0,2,90.1514
8.315,0.034947612796256466,22,0.0,0.0,1.0,2,144.8444
20.7,0.04665455394784451,19,0.0,1.0,1.0,2,214.9876
,0.014976438193611216,41,1.0,1.0,0.0,3,141.347
21.35,0.07527782903281892,19,1.0,1.0,1.0,2,96.8094
5.88,0.08308311939547929,24,1.0,1.0,1.0,2,152.6998
,0.06232299617363763,41,0.0,1.0,0.0,3,90.3804
7.435,0.08151552408524124,19,1.0,1.0,1.0,2,165.8158
14.65,0.06958821929893519,29,1.0,0.0,1.0,1,262.5594
14.0,0.04042845181248109,39,1.0,2.0,1.0,3,181.2634
18.2,0.056935527113658686,24,1.0,1.0,1.0,2,221.6456
17.6,0.015589287160958193,27,1.0,1.0,1.0,1,180.0976
,0.0321904461358927,41,1.0,1.0,0.0,3,108.1938
7.71,0.04667607582050496,17,0.0,1.0,2.0,3,122.3756
7.81,0.06537583080847031,27,1.0,1.0,1.0,1,245.2486
16.35,0.0290781789937026,24,1.0,1.0,1.0,2,256.2646
13.0,0.04408970955929046,24,0.0,1.0,1.0,2,173.7054
,0.26201355143640337,41,1.0,0.0,0.0,1,124.8704
13.35,0.1305478075327593,29,1.0,0.0,1.0,1,148.6392
